Wc2 [kg/s],PR_c [-],Nc_c [%],Eta_c [-],SFwc_c [-],SFeta_c [-],SFpr_c [-],SFNc_c [-],Wc4 [kg/s],PR_t [-],Eta_t [-],SFwc_t [-],SFeta_t [-],SFpr_t [-],SFNc_t [-]
19.9,6.92,100,0.825,1.00151,0.948276,1.051659,16539.99909,6.5313,2.5011,0.88,0.329704,0.944733,1.000753,8276.062745
19.5298,6.7039,97.88,0.829,1.00151,0.948276,1.051659,16539.99909,6.5357,2.4998,0.8777,0.329704,0.944733,1.000753,8276.062745
19.0935,6.4765,96.35,0.8293,1.00151,0.948276,1.051659,16539.99909,6.5379,2.4994,0.8765,0.329704,0.944733,1.000753,8276.062745
18.662,6.2504,94.89,0.8297,1.00151,0.948276,1.051659,16539.99909,6.5395,2.4994,0.8756,0.329704,0.944733,1.000753,8276.062745
18.2088,6.031,93.62,0.8297,1.00151,0.948276,1.051659,16539.99909,6.5366,2.4997,0.8752,0.329704,0.944733,1.000753,8276.062745
17.769,5.8019,92.39,0.8297,1.00151,0.948276,1.051659,16539.99909,6.5373,2.5003,0.875,0.329704,0.944733,1.000753,8276.062745
17.3563,5.5762,91.28,0.8296,1.00151,0.948276,1.051659,16539.99909,6.5337,2.5013,0.8753,0.329704,0.944733,1.000753,8276.062745
16.894,5.3423,90.2,0.8288,1.00151,0.948276,1.051659,16539.99909,6.5322,2.5026,0.8757,0.329704,0.944733,1.000753,8276.062745
16.2968,5.0659,88.47,0.8236,1.00151,0.948276,1.051659,16539.99909,6.541,2.5026,0.8746,0.329704,0.944733,1.000753,8276.062745
15.7237,4.8001,86.73,0.8189,1.00151,0.948276,1.051659,16539.99909,6.5421,2.5029,0.8738,0.329704,0.944733,1.000753,8276.062745
15.1128,4.5225,84.83,0.8143,1.00151,0.948276,1.051659,16539.99909,6.5432,2.4954,0.873,0.329704,0.944733,1.000753,8276.062745
13.7544,4.0697,80.49,0.7813,1.00151,0.948276,1.051659,16539.99909,6.5484,2.4494,0.8658,0.329704,0.944733,1.000753,8276.062745
12.1541,3.5753,75.36,0.7448,1.00151,0.948276,1.051659,16539.99909,6.5322,2.3556,0.855,0.329704,0.944733,1.000753,8276.062745
10.1121,2.9804,68.75,0.6917,1.00151,0.948276,1.051659,16539.99909,6.5076,2.1708,0.8419,0.329704,0.944733,1.000753,8276.062745
6.5819,2.0972,53.67,0.5765,1.00151,0.948276,1.051659,16539.99909,6.2769,1.7593,0.79,0.329704,0.944733,1.000753,8276.062745
5.4437,1.7951,48.68,0.5544,1.00151,0.948276,1.051659,16539.99909,5.9247,1.579,0.8015,0.329704,0.944733,1.000753,8276.062745
