Point/Time,Mode,Tsa,Psa,Tta,Pta,Macha,Wf_Control,W0,Wc0,T0,P0,PR_Inlet1,W2,Wc2,T2,P2,PR_compressor1,N_compressor1,Nc_compressor1,Eta_is_compressor1,W3,Wc3,T3,P3,PR_combustor1,Wf_combustor1,W4,Wc4,T4,P4,PR_turbine1,N_turbine1,Nc_turbine1,Eta_is_turbine1,W5,Wc5,T5,P5,PR_exhduct,W7,Wc7,T7,P7,PR_exhaust1,T8,P8,V8,Mach8,T9,P9,Athroat_exhaust1,Athroat_geom_exhaust1,FG_exhaust1,FG,FN,RD,WF
0,DP,288.15,101325.0,288.15,101325.0,0,0.38,19.9,,288.15,101325.0,1,19.9,19.9,288.15,101325.0,6.92,16540,16540.0,0.825,19.9,3.944049699623556,542.0126440384605,701168.9999999998,1,0.38,20.279999999999998,,1235.9123274742362,701168.9999999998,,16540.0,7986.39865810925,0.88,20.279999999999998,13.637971145012816,1024.7405030624916,284140.0384789462,1,20.279999999999998,13.637971145012818,1024.7405030624916,284140.03847894614,2.804244149804551,880.526941361999,153347.03859502426,580.305017622547,1,880.526941361999,101325.0,0.05759643142014823,0.05759643142014823,14764.869535659871,14764.869535659871,14764.869535659871,0.0,0.38
0,OD,288.15,101325.0,288.15,101325.0,0,0.38,19.899999961789703,,288.15,101325.0,1,19.899999961789703,19.899999961789703,288.15,101325.0,6.919999988472887,16539.99995572858,16539.99995572858,0.82500000115017,19.899999961789717,3.94404969634601,542.0126434133431,701168.9988320153,1,0.38,20.279999961789716,6.069408608392933,1235.9123281473335,701168.9988320153,2.467688128710229,16539.99995572858,7986.398634557876,0.8799999990767213,20.27999996177536,13.637971144683432,1024.7405039128123,284140.0380681375,1,20.27999996177536,13.637971144683432,1024.7405039128123,284140.03806813754,2.8042441457501854,880.5269421282807,153347.0383784872,580.3050178532301,1.0,880.5269421282807,101324.99999999999,0.05759643142014823,0.05759643142014823,14764.869505684412,14764.869505684412,14764.869505684412,0.0,0.38
1,OD,288.15,101325.0,288.15,101325.0,0,0.3725,19.829178350319122,,288.15,101325.0,1,19.829178350319122,19.829178350319122,288.15,101325.0,6.8591288468896305,16459.385853957887,16459.385853957887,0.8283663349639354,19.829154143772016,3.9558068885448443,539.5333977227821,695001.2304110918,1,0.3725,20.201654143772014,6.069426126607574,1223.7092941447718,695001.2304110917,2.4689726220070507,16459.385853957887,7987.0022930265295,0.8799321663974513,20.201646790353053,13.64181450818357,1014.1325696024519,281494.1017232175,1,20.201646790353053,13.641814508183568,1014.1325696024519,281494.1017232176,2.778130784339675,871.0068917450451,151860.87309772114,577.4098217763316,1.0,871.0068917450451,101325.0,0.05759643142014823,0.05759643142014823,14575.315221936366,14575.315221936366,14575.315221936366,0.0,0.3725
2,OD,288.15,101325.0,288.15,101325.0,0,0.365,19.73518730157239,,288.15,101325.0,1,19.73518730157239,19.73518730157239,288.15,101325.0,6.792196256552368,16368.455896851363,16368.455896851363,0.8311065970221871,19.735148934728848,3.9668761853174477,537.1004924078767,688219.2856951689,1,0.365,20.100148934728846,6.069555515801331,1212.1457590940925,688219.2856951688,2.4700665775550092,16368.455896851363,7980.6745611361475,0.8796116123850318,20.10013632629584,13.645496311884186,1004.1588596823897,278623.77959722903,1,20.10013632629584,13.645496311884186,1004.1588596823897,278623.77959722903,2.7498029074485966,862.0571248826678,150257.7705049103,574.6724043436576,1.0,862.0571248826678,101324.99999999999,0.05759643142014823,0.05759643142014823,14369.34663085164,14369.34663085164,14369.34663085164,0.0,0.365
3,OD,288.15,101325.0,288.15,101325.0,0,0.3575,19.615910293568998,,288.15,101325.0,1,19.615910293568998,19.615910293568998,288.15,101325.0,6.718823892424723,16270.212029875935,16270.212029875935,0.8330778112987087,19.61583759666687,3.977172360943226,534.7370188875911,680784.8308999351,1,0.3575,19.973337596666873,6.069753805263615,1201.2881070063604,680784.8308999351,2.4709900348823157,16270.212029875935,7968.543280508572,0.8790566398637283,19.97331066973949,13.649010326153146,994.8677712524717,275510.9576685761,1,19.97331066973949,13.649010326153146,994.8677712524717,275510.9576685761,2.7190817435832826,853.7211408381118,148528.66578485904,572.108669979967,1.0,853.7211408381118,101325.00000000001,0.05759643142014823,0.05759643142014823,14145.666901518576,14145.666901518576,14145.666901518576,0.0,0.3575
4,OD,288.15,101325.0,288.15,101325.0,0,0.35,19.473260544776227,,288.15,101325.0,1,19.473260544776227,19.473260544776227,288.15,101325.0,6.639646798178475,16169.749428849842,16169.749428849842,0.8342100151660845,19.47315066594921,3.9868383169833304,532.4678340770624,672762.211825434,1,0.35,19.82315066594921,6.069994025236695,1191.0823824514716,672762.2118254341,2.4717865597793693,16169.749428849842,7953.196294315235,0.8783783884675402,19.823103677107635,13.652320519352738,986.1802310335955,272176.4988824458,1,19.823103677107635,13.652320519352738,986.1802310335955,272176.4988824458,2.6861731940039064,845.9281083619945,146683.94032266102,569.6993306783664,1.0,845.9281083619945,101324.99999999999,0.05759643142014823,0.05759643142014823,13905.721992400826,13905.721992400826,13905.721992400826,0.0,0.35
5,OD,288.15,101325.0,288.15,101325.0,0,0.3425,19.314089471348336,,288.15,101325.0,1,19.314089471348336,19.314089471348336,288.15,101325.0,6.556457751507033,16071.318459284385,16071.318459284385,0.8346563886762793,19.313977538016267,3.996197004870456,530.2827428511829,664333.0816714502,1,0.3425,19.65647753801627,6.070238270913344,1181.298852105895,664333.0816714502,2.472540746207902,16071.318459284385,7937.448634614951,0.8776860839375579,19.65642015101396,13.655528958977673,977.863972322297,268684.381719625,1,19.65642015101396,13.655528958977673,977.863972322297,268684.381719625,2.6517086772230445,838.4698833532599,144757.17748370036,567.3818243649881,1.0,838.4698833532599,101325.0,0.05759643142014823,0.05759643142014823,13654.233957634671,13654.233957634671,13654.233957634671,0.0,0.3425
6,OD,288.15,101325.0,288.15,101325.0,0,0.335,19.147572228350228,,288.15,101325.0,1,19.147572228350228,19.147572228350228,288.15,101325.0,6.471540441831122,15976.702987528275,15976.702987528275,0.8347329434404694,19.147570416679617,4.005638415758943,528.1412623826027,655728.8352685383,1,0.335,19.482570416679618,6.070460574500027,1171.6145636377287,655728.8352685382,2.473326772208196,15976.702987528275,7923.263381637506,0.8770549496817961,19.482569922184734,13.658745594538678,969.6167534474129,265120.1784724551,1,19.482569922184734,13.658745594538678,969.6167534474129,265120.1784724551,2.6165327261036775,831.0755557268176,142792.91106895465,565.0726340442251,1.0,831.0755557268176,101325.0,0.05759643142014823,0.05759643142014823,13397.470799899573,13397.470799899573,13397.470799899573,0.0,0.335
7,OD,288.15,101325.0,288.15,101325.0,0,0.3275,18.979436548526657,,288.15,101325.0,1,18.979436548526657,18.979436548526657,288.15,101325.0,6.386149445425027,15885.60667824199,15885.60667824199,0.8346678491877242,18.97943605037608,4.015416580175434,526.006834574704,647076.5925576909,1,0.3275,19.30693605037608,6.070653887215832,1161.8257922271443,647076.5925576909,2.474179953197167,15885.60667824199,7911.20449422165,0.8765057078072561,19.306935929100575,13.662045274955425,961.2557287490674,261531.7417480205,1,19.306935929100575,13.662045274955425,961.2557287490674,261531.74174802046,2.58111760915885,823.5814994108888,140815.9937192098,562.7203012453268,1.0,823.5814994108888,101325.00000000001,0.05759643142014823,0.05759643142014823,13138.94511360967,13138.94511360967,13138.94511360967,0.0,0.3275
8,OD,288.15,101325.0,288.15,101325.0,0,0.32,18.81214116191848,,288.15,101325.0,1,18.81214116191848,18.81214116191848,288.15,101325.0,6.300872946908635,15796.671145498776,15796.671145498776,0.8345964563240591,18.812141248790173,4.025629221099475,523.8550690299727,638435.9513455175,1,0.32,19.132141248790173,6.070822587535787,1151.8289623693006,638435.9513455175,2.475106240887241,15796.671145498776,7900.978714802108,0.8760260397830926,19.13214124579189,13.665459456549444,952.6945865301249,257942.84738123402,1,19.13214124579189,13.665459456549444,952.6945865301249,257942.84738123402,2.545697975635174,815.9107685152749,138838.82750675478,560.2997207241989,1.0,815.9107685152749,101325.00000000001,0.05759643142014823,0.05759643142014823,12880.395990173194,12880.395990173194,12880.395990173194,0.0,0.32
